original_index,before_lat,before_lon,after_lat,after_lon,time
86,22.51389895723175,113.92767007997989,22.513899139855287,113.92764804367658,1547945175.0
87,22.514134963038206,113.9276470851589,22.51413493939358,113.92764993842725,1547945185.0
88,22.51439097040744,113.92761709191859,22.514390681208127,113.92765199343035,1547945195.0
89,22.51467697323458,113.92760909370635,22.51467659873059,113.92765429091864,1547945205.0
90,22.514907977327315,113.92759409707966,22.514907463210783,113.92765614603587,1547945215.0
91,22.51517598962024,113.92754110903847,22.51517497903006,113.92765831290524,1547945224.0
92,22.515225989818134,113.92754110903506,22.515224975592393,113.92765873443639,1547945225.0
93,22.515788992046154,113.92754110899635,22.515787747548103,113.92766353858616,1547945245.0
94,22.51591700081979,113.92750211780317,22.515915346852633,113.92766484470715,1547945255.0
95,22.516152993486426,113.9275411089713,22.516148704870126,113.92766766146411,1547945265.0
96,22.51634999108655,113.92755610556758,22.51634595662801,113.92767515632465,1547945275.0
97,22.5163509942698,113.92754110895771,22.516346451012073,113.9276751751095,1547945285.0
