original_index,before_lat,before_lon,lat,lon,time
0,22.551991622757484,113.90830691866549,22.552009556068636,113.90828869169407,1547948670.0
1,22.551732582633036,113.90801009189742,22.551752189679615,113.9079903876651,1547948673.0
2,22.55135052868424,113.90751439363659,22.55134519235709,113.90751985551393,1547948680.0
3,22.5511525050168,113.90725555587959,22.55113241389314,113.90727611973487,1547948690.0
4,22.550936483510014,113.90704968347058,22.550935737005375,113.90705043116238,1547948700.0
5,22.55088547865384,113.90699571760055,22.550887374275845,113.90699381896329,1547948710.0
6,22.549039409223838,113.90481522407188,22.549055223860503,113.90480019710611,1547948750.0
7,22.548768417638183,113.90448747005709,22.54878575317527,113.90447028871492,1547948753.0
8,22.54814445416463,113.90374004923109,22.548155944588295,113.9037284974986,1547948760.0
9,22.547908560766484,113.90290175881238,22.547845599999995,113.90290979999999,1547948770.0
10,22.548844832982454,113.90185776540218,22.54886419044497,113.90190315484256,1547948780.0
11,22.549898172265433,113.9007758662875,22.5499742176077,113.90086224833253,1547948790.0
12,22.550905549878003,113.89972398644458,22.55098852158742,113.8998203710378,1547948800.0
13,22.552266328481863,113.89778814659327,22.55085297269452,113.8993025890781,1547953160.0
15,22.549289090191248,113.90090470180908,22.54933184780917,113.90091341441628,1547953190.0
16,22.548297775061144,113.90192666674406,22.54832980948003,113.9019625761123,1547953200.0
17,22.54800168858752,113.90223836092886,22.54803278885676,113.90227322322117,1547953203.0
18,22.54736451694091,113.90290971738241,22.547391271733087,113.90294011923994,1547953210.0
19,22.54625026747517,113.90406066095639,22.546275215070324,113.90408466185126,1547953220.0
20,22.545216087814552,113.90514272446345,22.545243559794887,113.9051743196216,1547953230.0
21,22.544155960160502,113.90616488456956,22.544176359233163,113.90619294722526,1547953240.0
22,22.543049874097463,113.90704119093235,22.543077724470226,113.90708112417987,1547953250.0
23,22.542083836180268,113.90797150714351,22.54214386712656,113.90802307907003,1547953260.0
24,22.54092902867535,113.91047196282905,22.54092949790425,113.91042825466866,1547953290.0
25,22.540342920802182,113.91003716039052,22.540371704183013,113.91004157517554,1547953300.0
26,22.54098191564169,113.9096794004962,22.540981410057324,113.90966890885818,1547953310.0
27,22.541767964668967,113.90963347622841,22.54176819189507,113.90955475306914,1547953320.0
28,22.54274602646668,113.9095725727528,22.542744490878334,113.90951827389244,1547953330.0
29,22.54362008963311,113.90957262793694,22.54357717436718,113.90965572851698,1547953340.0
30,22.544760205305842,113.9098165618696,22.54470456615664,113.90993501156885,1547953350.0
31,22.545922376309342,113.91038132640243,22.546115782917866,113.90997330458353,1547953360.0
32,22.54742378362576,113.91188367340703,22.5480521,113.91080489999999,1547953380.0
33,22.547734939694816,113.91243244672478,22.5483834,113.91134609999999,1547953390.0
34,22.54811117049565,113.91318015801814,22.5484316,113.9113756,1547953400.0
35,22.548345326731692,113.91364499204072,22.548531099999995,113.9113878,1547953410.0
36,22.54834545951655,113.91406483767679,22.548531099999995,113.9113878,1547953420.0
38,22.54920405025165,113.9124095495153,22.5499041,113.91162440000001,1547953460.0
39,22.55022797600613,113.91174591464822,22.5499041,113.91162440000001,1547953470.0
40,22.550774958388228,113.9114560870142,22.5494419,113.9109833,1547953475.0
41,22.55134394987781,113.91118225684522,22.549797599999998,113.9095924,1547953480.0
42,22.552182916059863,113.91061759720527,22.5509059,113.9095493,1547953490.0
43,22.552230916168497,113.91059461225645,22.5509059,113.9095493,1547953491.0
44,22.55225691580728,113.91057962175094,22.5509059,113.9095493,1547953500.0
45,22.552329683221785,113.908718683889,22.551984299999994,113.9084154,1547963462.0
46,22.551757586865172,113.90804806898758,22.55178124868685,113.90802428988877,1547963472.0
47,22.551707579717608,113.90799510000372,22.551733715608695,113.90796883456323,1547963473.0
48,22.550889479430303,113.90703369155456,22.550906701120745,113.907016442476,1547963502.0
49,22.550732465018744,113.90686579841604,22.5507570082729,113.90684121610079,1547963505.0
50,22.550194426648606,113.90622622138963,22.550216285298553,113.90620439128121,1547963512.0
51,22.549420406642103,113.90525790069755,22.549429044893966,113.90524976418699,1547963522.0
52,22.548672421534967,113.90437355660252,22.548689592547856,113.90435653830697,1547963532.0
53,22.54802646433832,113.90359516467464,22.548034598163564,113.90358698744159,1547963542.0
54,22.548007572398504,113.90287878538288,22.54794338193985,113.90280711957065,1547963552.0
55,22.54835467550047,113.9024521888698,22.548319149395528,113.90241252565679,1547963557.0
56,22.548825810685578,113.90195667230672,22.548813743918984,113.90192837808985,1547963562.0
57,22.54988614594216,113.90087476876995,22.549922298406848,113.90091583540476,1547963572.0
58,22.550905522507364,113.8998148931722,22.550946632489804,113.89986264886994,1547963582.0
59,22.55190494346352,113.8987630582842,22.551429499999994,113.89932759999999,1547963592.0
60,22.552310329500408,113.89779514158295,22.551429499999994,113.89932759999999,1547969292.0
61,22.551367890835905,113.89878599974008,22.551429499999994,113.89932759999999,1547969302.0
63,22.54916003235886,113.90109550849279,22.551159600000002,113.89963809999999,1547969332.0
64,22.54813172301383,113.90211648088281,22.54800383447223,113.90196744940943,1547969342.0
65,22.54790966200323,113.90233826403221,22.547803200000004,113.9021693,1547969344.0
66,22.547127453196516,113.90319145539652,22.547026117600552,113.90311694486567,1547969352.0
67,22.546160244965982,113.90419754207106,22.546172728495616,113.90420955189406,1547969362.0
68,22.54518208052968,113.90521166865196,22.54519375166559,113.9052250914764,1547969372.0
69,22.544145958487274,113.906202856165,22.544153139285413,113.90621273466904,1547969382.0
70,22.54306287567667,113.90708716002722,22.543065587005,113.90709104766594,1547969392.0
