original_index,before_lat,before_lon,after_lat,after_lon,time
0,22.525442042527146,113.91821225513266,22.525419094906702,113.91832715884566,1547942451.0
1,22.525566039745367,113.91822725163392,22.525540445023132,113.91835540925125,1547942481.0
2,22.525936022877616,113.91831123205117,22.525910016882165,113.91844144603718,1547942491.0
3,22.525984021322053,113.91831923018592,22.52595740914617,113.918452479032,1547942501.0
4,22.526371017840354,113.91834222481673,22.526336212204754,113.91853232559949,1547942671.0
5,22.526747997729007,113.91844120174304,22.526714929444537,113.91861581139828,1547942681.0
6,22.52689898501555,113.91850218753008,22.526867409936226,113.91865084162252,1547942691.0
8,22.527348946871232,113.91868514490048,22.52733135026726,113.91876620712291,1547942841.0
9,22.52801491286906,113.91885310576991,22.52800015430295,113.91892793936853,1547942851.0
10,22.528619882123348,113.91900507037613,22.5286069575874,113.91906805061635,1547942861.0
11,22.529668824594875,113.9192880045075,22.52966220666638,113.919320167505,1547942881.0
12,22.529734833356564,113.919249013576,22.529717465686495,113.91933342046296,1547942921.0
13,22.531054770393567,113.91956194075563,22.53104458608117,113.91962738328618,1547942951.0
14,22.531983754037853,113.9196539193419,22.531967592129817,113.91977844712638,1547942961.0
15,22.53273372391136,113.91980588399744,22.53272762053276,113.91987969494623,1547942971.0
16,22.533086710288096,113.91987486795608,22.53308349776212,113.91991371729534,1547942981.0
17,22.53421368493042,113.92001183609743,22.534214337575353,113.91999568643323,1547943031.0
18,22.534577687893645,113.92000483771004,22.53457738184634,113.92001241080919,1547943041.0
19,22.53459468643755,113.92001183608386,22.53459463109855,113.92001320543329,1547943051.0
20,22.534659673420787,113.920072821917,22.534661957432164,113.92001630696825,1547943061.0
21,22.53467467173941,113.920080820059,22.534677250531992,113.92001701147876,1547943071.0
22,22.53526664579812,113.92021078985792,22.53521982086091,113.92024261337289,1547943111.0
23,22.53533147198537,113.92101160411434,22.535324055176577,113.92101175704434,1547943121.0
24,22.535405275387483,113.92191939403519,22.535338446853594,113.9219206607407,1547943131.0
25,22.53545113039333,113.92259023914569,22.535348519212114,113.92259218353512,1547943141.0
26,22.535456118742438,113.92264422669453,22.53534932920131,113.92264625021322,1547943151.0
27,22.535479084264956,113.92280418981437,22.53535173064116,113.92280660282901,1547943171.0
28,22.53552890843927,113.92362000203026,22.535363686198075,113.92362465584033,1547943201.0
29,22.535478860651736,113.92384095126566,22.535368689835508,113.92384405423483,1547943231.0
30,22.535513734347717,113.92442881638706,22.5353785301064,113.92443080157133,1547943261.0
31,22.53554571321131,113.92452779370525,22.535379638554787,113.92453019928459,1547943271.0
32,22.535465609703262,113.92500868363945,22.535385990854163,113.92501033362063,1547943321.0
33,22.535482492221686,113.92555755826255,22.53539900428147,113.92556207375026,1547943341.0
34,22.535473396028145,113.92600745570701,22.535418201700452,113.92601001610346,1547943401.0
35,22.535610115565277,113.92732715602804,22.53561798806514,113.92725928896665,1547943431.0
36,22.53598411384888,113.92734215260703,22.535984762503105,113.92728074812828,1547943440.0
37,22.53657911936631,113.92732715596064,22.536579090560462,113.92728607733362,1547943451.0
38,22.53679812022508,113.92732715594538,22.536798091040275,113.92728553741803,1547943461.0
39,22.537468140685075,113.92724317491563,22.537468550249066,113.92727475826797,1547943511.0
40,22.537954152358804,113.92719718529925,22.537957273522274,113.92724633857236,1547943521.0
41,22.538065164051826,113.92714419729691,22.538075925869258,113.92723347318291,1547943531.0
42,22.53819416944379,113.92712120249881,22.538224184698816,113.92720642277747,1547943541.0
43,22.53891217544407,113.92710620584808,22.53891235109033,113.92712560604745,1547943571.0
44,22.539201176576086,113.92710620582818,22.53920132021807,113.9271220710382,1547943581.0
45,22.539299176959904,113.92710620582145,22.539299309749087,113.9271208723115,1547943591.0
46,22.539577173161707,113.92712920059098,22.539577186403893,113.92713017755241,1547943621.0
47,22.53996418275123,113.92709120917466,22.53996414274016,113.92712642780545,1547943651.0
48,22.54019718366335,113.9270912091586,22.540197143732875,113.92712635685884,1547943661.0
49,22.540493184821926,113.92709120913821,22.540493478260174,113.92712270554696,1547943671.0
50,22.540836187864265,113.92708321092753,22.54083651574895,113.92711840365918,1547943681.0
51,22.541109184044885,113.92710620569667,22.541109326529345,113.9271148313506,1547943691.0
52,22.541616184540647,113.92711320407552,22.541616035882868,113.92710420470917,1547943701.0
53,22.542833190786027,113.92710620557759,22.54283259607352,113.92706988520695,1547943731.0
54,22.54340119470547,113.92709820735118,22.543400757834767,113.92706087016994,1547943741.0
55,22.543905199861914,113.92708321071572,22.543905163200133,113.92706102340001,1547943751.0
56,22.544347199887753,113.92709120887207,22.5443471474101,113.92705944667406,1547943761.0
57,22.54474420313782,113.92708321065768,22.54474506718649,113.92707318728228,1547943771.0
58,22.545171188654894,113.92715919340647,22.54517527470556,113.92712824951138,1547943781.0
59,22.546043146612355,113.92737314488524,22.546043361113405,113.9273723866006,1547943811.0
60,22.546295124889426,113.92748012065547,22.546299163143093,113.92746860369625,1547943821.0
61,22.546943051528938,113.92783803969024,22.54694111384097,113.92784292192638,1547943831.0
62,22.54738200645697,113.92805898977551,22.547385967970573,113.92804900859832,1547943841.0
63,22.547397006515368,113.92805898977439,22.547398638324257,113.92805487837434,1547943871.0
64,22.54752900364419,113.92807498615532,22.547515497373723,113.92810901551117,1547943921.0
65,22.547550000552757,113.92808998277029,22.547538260862982,113.92811956112641,1547943951.0
66,22.547734977164165,113.92820395705037,22.547732714906985,113.92820965044204,1547943971.0
67,22.547904956688747,113.92830393450042,22.547909775018738,113.92829212141181,1547943991.0
68,22.547919955267915,113.92831093292206,22.547924724829873,113.92829923941032,1547944001.0
69,22.548169923922156,113.92846389844438,22.54818628900993,113.92842377708901,1547944031.0
70,22.548213917759224,113.92849389168752,22.548233372836737,113.92844619497197,1547944041.0
71,22.5485108994955,113.92858587096052,22.548518587518778,113.9285624012437,1547944101.0
72,22.5486428903027,113.9286318606019,22.548649302041298,113.9286094771924,1547944111.0
73,22.549004869352192,113.92873783673669,22.549008455936782,113.92872360026333,1547944121.0
74,22.549534852016134,113.9288298160171,22.54953325572006,113.92884119806347,1547944131.0
75,22.552054882666283,113.92873083807505,22.552055096165706,113.92886622297263,1547944161.0
76,22.553214895176335,113.92869284653037,22.55271623692548,113.9287386870538,1547944171.0
78,22.554417906374102,113.92866185340976,22.553043426501457,113.92803216471351,1547944181.0
79,22.554707926698928,113.92857087386123,22.553043426501457,113.92803216471351,1547951104.0
80,22.553776921617107,113.92857787235748,22.553043426501457,113.92803216471351,1547951114.0
81,22.55274891109229,113.9286088654612,22.55255705839479,113.92846735605981,1547951124.0
82,22.551907899814164,113.92864685697722,22.551904118659483,113.9285067156758,1547951134.0
83,22.5514408980029,113.92864685701313,22.551437387377245,113.92852284383153,1547951144.0
84,22.551230900352856,113.92863186040344,22.551228020776787,113.92853013996002,1547951154.0
85,22.551106903247614,113.92861586401234,22.55110459824204,113.9285344410474,1547951164.0
86,22.551013906051878,113.92860086739421,22.55101211680213,113.92853766387869,1547951174.0
87,22.55084789886668,113.92863186043286,22.550845396772917,113.92854347379372,1547951194.0
88,22.550801897211304,113.92863885886175,22.5507992425518,113.9285450821884,1547951204.0
89,22.550719901745754,113.92861586404203,22.550717978163696,113.92854791410846,1547951214.0
90,22.550542897682877,113.92863186045628,22.55053871588874,113.92855822770792,1547951224.0
91,22.550374897030714,113.92863186046917,22.55037668512314,113.92856101829615,1547951234.0
92,22.550273895161762,113.92863885890226,22.55027593070842,113.92855821327616,1547951244.0
93,22.550080897577104,113.9286238622913,22.550084007927374,113.92854960739082,1547951254.0
