original_index,before_lat,before_lon,after_lat,after_lon,time
0,22.555177019449477,113.90515330776688,22.555196446990053,113.90519260949578,1547946369.0
1,22.555023998836454,113.90524528638902,22.55504220878451,113.90528212508902,1547946379.0
2,22.554794961383482,113.90541324734149,22.55481156254869,113.90543920782265,1547946389.0
3,22.554693944446104,113.90548922967245,22.554710476510863,113.90551508214566,1547946399.0
4,22.554052853951752,113.9058931356962,22.55409439781642,113.90596370227476,1547946429.0
5,22.553894828274892,113.9060081089319,22.553933957016046,113.90607457340549,1547946439.0
6,22.553848819813595,113.90604610008684,22.553885354969943,113.90610815914202,1547946459.0
7,22.553749797849047,113.90614507704059,22.55378317203071,113.90618553914484,1547946469.0
8,22.55333971796177,113.90650399343006,22.5533777132332,113.90656277912328,1547946499.0
9,22.553030668531974,113.90672494193005,22.553074510994172,113.9067927746772,1547946509.0
10,22.552742629205138,113.90689990113401,22.55279282830546,113.9069875558359,1547946519.0
11,22.552505609933156,113.90698388154513,22.55258693776705,113.90712594635173,1547946529.0
12,22.55170656332556,113.90718283512187,22.55170800121276,113.90720995606803,1547946559.0
13,22.551376558743776,113.90719783161578,22.55137829906297,113.90723065737731,1547946569.0
14,22.551012552280067,113.90722082624292,22.551018733027966,113.90727068433993,1547946579.0
15,22.550774538016334,113.90728181200926,22.550799659554265,113.90734096246985,1547946589.0
16,22.550535503651627,113.90743477631075,22.550572843547762,113.90748339271389,1547946599.0
17,22.55034645636583,113.90764772660175,22.550378969919677,113.90768173461436,1547946609.0
18,22.55010233866079,113.90818160191458,22.550139028754764,113.90819111689731,1547946629.0
19,22.550070275098594,113.9084715341636,22.550108261591795,113.90847179515288,1547946639.0
20,22.550110201728398,113.90880745563554,22.55014737074628,113.90879784968266,1547946649.0
21,22.550222140436265,113.90908938970477,22.550251792252052,113.90907239989058,1547946659.0
22,22.55034609910159,113.9092803450384,22.550369235548825,113.90925917353488,1547946669.0
23,22.55054505652119,113.90947829872628,22.550558775063074,113.9094573795825,1547946679.0
24,22.551048001548814,113.9097382379011,22.551055065285116,113.90971623683956,1547946709.0
25,22.55128098252973,113.90982921660913,22.55128861172213,113.90980639065756,1547946719.0
26,22.551570958474233,113.909944189699,22.551576001246975,113.90993127579154,1547946729.0
27,22.551772930999746,113.91007315950823,22.5517810528105,113.91005992237068,1547946739.0
28,22.551909901292422,113.91021112720676,22.551927171411652,113.91019204695712,1547946749.0
29,22.552146823742287,113.91056904339335,22.55217269896797,113.91054997208347,1547946759.0
30,22.55246669956311,113.91114090943898,22.55251808786493,113.91109295353439,1547946779.0
31,22.552708601583937,113.91159180379441,22.55281240303791,113.91152770576961,1547946789.0
32,22.55284454858736,113.91183574663144,22.552942612230467,113.9117751930337,1547946799.0
33,22.552905522059827,113.9119577180485,22.55300527433626,113.91189890068797,1547946809.0
34,22.55344931837514,113.9128954982712,22.553516530337927,113.91284827322984,1547946839.0
35,22.55375621908052,113.91335339096078,22.553812942720388,113.91330864172525,1547946849.0
36,22.554124098310563,113.9139102604686,22.554180225328366,113.91386950995182,1547946859.0
37,22.554514949136887,113.91459709956038,22.5545826084191,113.91455452315745,1547946869.0
38,22.554790796496974,113.915297935443,22.554813430859717,113.91529533000707,1547946879.0
39,22.554828758062715,113.91547389425246,22.55483078752242,113.91547366064663,1547946889.0
40,22.554897684689884,113.9158098156341,22.55486387960165,113.91581370669799,1547946909.0
41,22.554909669835588,113.91587779972637,22.554870554399606,113.91588230199118,1547946919.0
42,22.554958636503148,113.9160307639376,22.55492470216048,113.91604554422774,1547946929.0
43,22.555017574957525,113.91631269798994,22.555018608028785,113.91631229123864,1547946939.0
44,22.555075523280323,113.91654964258205,22.555082009279662,113.9165476901456,1547946949.0
45,22.555101488349123,113.91670960518523,22.555122507736044,113.9167029717436,1547946959.0
46,22.555219320313487,113.91747942532486,22.555244143219298,113.91747583666857,1547946989.0
47,22.55526721031102,113.91798330771051,22.555299086257,113.91797996959343,1547946999.0
48,22.555286157070565,113.91822725080543,22.55530683519105,113.91822671317304,1547947009.0
49,22.555292075416432,113.91860116363044,22.555308055298227,113.91860137792663,1547947019.0
50,22.555292000556914,113.91894408373506,22.555299555940994,113.91894427391068,1547947029.0
