busID,lon,lat,time
BS01200D,114.024254,22.665651,1547962080.0
BS01200D,114.024307,22.665569,1547962090.0
BS01200D,114.024986,22.664726,1547962110.0
BS01200D,114.025009,22.664707,1547962120.0
BS01200D,114.025429,22.664268,1547962130.0
BS01200D,114.025803,22.663824,1547962140.0
BS01200D,114.026382,22.663136,1547962150.0
BS01200D,114.027046,22.66231,1547962160.0
BS01200D,114.02726,22.661797,1547962170.0
BS01200D,114.02655,22.661188,1547962180.0
BS01200D,114.026413,22.661081,1547962182.0
BS01200D,114.025673,22.660536,1547962190.0
BS01200D,114.025162,22.660206,1547962200.0
BS01200D,114.024956,22.660133,1547962230.0
BS01200D,114.024796,22.660028,1547962240.0
BS01200D,114.024467,22.659672,1547962250.0
BS01200D,114.023613,22.659105,1547962260.0
BS01200D,114.023102,22.658733,1547962270.0
BS01200D,114.023094,22.658716,1547962280.0
BS01200D,114.022957,22.658581,1547962290.0
BS01200D,114.0224,22.658175,1547962300.0
BS01200D,114.021706,22.657696,1547962310.0
BS01200D,114.021645,22.657646,1547962320.0
BS01200D,114.021599,22.657621,1547962330.0
BS01200D,114.020897,22.65707,1547962340.0
BS01200D,114.019981,22.656366,1547962350.0
BS01200D,114.018723,22.655437,1547962370.0
BS01200D,114.017975,22.654934,1547962380.0
BS01200D,114.017357,22.654526,1547962390.0
BS01200D,114.017311,22.654486,1547962400.0
BS01200D,114.017265,22.654474,1547962420.0
BS01200D,114.016541,22.653896,1547962430.0
BS01200D,114.015739,22.653296,1547962440.0
BS01200D,114.014793,22.652546,1547962450.0
BS01200D,114.014023,22.651991,1547962460.0
BS01200D,114.013641,22.651709,1547962490.0
BS01200D,114.013359,22.651459,1547962590.0
BS01200D,114.013893,22.650784,1547962600.0
BS01200D,114.014885,22.649643,1547962610.0
BS01200D,114.015099,22.649393,1547962612.0
BS01200D,114.015724,22.648659,1547962620.0
BS01200D,114.015793,22.648582,1547962630.0
BS01200D,114.015862,22.648466,1547962670.0
BS01200D,114.01622,22.648008,1547962680.0
BS01200D,114.016953,22.647247,1547962690.0
BS01200D,114.017914,22.646667,1547962700.0
BS01200D,114.018394,22.6465,1547962710.0
BS01200D,114.019974,22.646166,1547962740.0
BS01200D,114.020012,22.646168,1547962750.0
BS01200D,114.020966,22.646269,1547962760.0
BS01200D,114.021965,22.646301,1547962770.0
BS01200D,114.023201,22.646284,1547962780.0
BS01200D,114.023628,22.646126,1547962790.0
BS01200D,114.023392,22.64546,1547962800.0
BS01200D,114.023384,22.645435,1547962810.0
BS01200D,114.023315,22.645008,1547962820.0
BS01200D,114.023033,22.644161,1547962830.0
BS01200D,114.022758,22.643248,1547962840.0
BS01200D,114.022369,22.642143,1547962850.0
BS01200D,114.022255,22.641762,1547962860.0
BS01200D,114.022163,22.641445,1547962940.0
BS01200D,114.02195,22.640818,1547962950.0
BS01200D,114.021797,22.640244,1547962960.0
BS01200D,114.021706,22.63995,1547962970.0
BS01200D,114.021675,22.639843,1547962980.0
BS01200D,114.021622,22.639679,1547962990.0
BS01200D,114.021591,22.639645,1547963000.0
BS01200D,114.021553,22.639517,1547963010.0
BS01200D,114.021477,22.639282,1547963020.0
BS01200D,114.021324,22.639021,1547963030.0
BS01200D,114.021248,22.638441,1547963080.0
BS01200D,114.021088,22.638128,1547963090.0
BS01200D,114.020691,22.637024,1547963120.0
BS01200D,114.020462,22.636189,1547963130.0
BS01200D,114.019691,22.634604,1547963160.0
BS01200D,114.019386,22.634132,1547963170.0
BS01200D,114.01757,22.632168,1547963200.0
BS01200D,114.017441,22.632074,1547963210.0
BS01200D,114.014694,22.630379,1547963250.0
BS01200D,114.014557,22.630283,1547963290.0
BS01200D,114.01445,22.630142,1547963310.0
BS01200D,114.011993,22.628666,1547963360.0
BS01200D,114.011269,22.628254,1547963370.0
BS01200D,114.010246,22.627647,1547963380.0
BS01200D,114.009315,22.627094,1547963390.0
BS01200D,114.008423,22.626566,1547963400.0
BS01200D,114.007751,22.62611,1547963410.0
BS01200D,114.007797,22.625849,1547963415.0
BS01200D,114.007904,22.625513,1547963420.0
BS01200D,114.00808,22.624733,1547963430.0
BS01200D,114.008224,22.623648,1547963440.0
BS01200D,114.008224,22.622511,1547963450.0
BS01200D,114.008232,22.621412,1547963460.0
BS01200D,114.008255,22.620087,1547963470.0
BS01200D,114.008148,22.615248,1547963500.0
BS01200D,114.008263,22.613831,1547963510.0
BS01200D,114.008415,22.6131,1547963520.0
BS01200D,114.008461,22.612883,1547963530.0
BS01200D,114.008629,22.612362,1547963540.0
BS01200D,114.008926,22.61162,1547963550.0
BS01200D,114.009361,22.61071,1547963560.0
BS01200D,114.00975,22.609938,1547963570.0
BS01200D,114.010178,22.609051,1547963580.0
BS01200D,114.01046,22.60845,1547963590.0
BS01200D,114.010506,22.608335,1547963593.0
BS01200D,114.010612,22.608051,1547963600.0
BS01200D,114.010826,22.607416,1547963620.0
BS01200D,114.011002,22.606848,1547963630.0
BS01200D,114.0112,22.606028,1547963640.0
BS01200D,114.01133,22.605314,1547963650.0
BS01200D,114.011368,22.604961,1547963660.0
BS01200D,114.011398,22.604721,1547963670.0
BS01200D,114.011414,22.604498,1547963680.0
BS01200D,114.011436,22.604111,1547963690.0
BS01200D,114.011436,22.603706,1547963700.0
BS01200D,114.011444,22.60342,1547963710.0
BS01200D,114.011467,22.602995,1547963720.0
BS01200D,114.011444,22.602549,1547963730.0
BS01200D,114.011406,22.602156,1547963740.0
BS01200D,114.011269,22.600929,1547963770.0
BS01200D,114.011208,22.600414,1547963780.0
BS01200D,114.011131,22.599817,1547963790.0
BS01200D,114.011093,22.599537,1547963800.0
BS01200D,114.011047,22.599274,1547963810.0
BS01200D,114.010979,22.598795,1547963820.0
BS01200D,114.010933,22.598366,1547963830.0
BS01200D,114.010857,22.597828,1547963840.0
BS01200D,114.010796,22.597179,1547963850.0
BS01200D,114.010345,22.593422,1547963910.0
BS01200D,114.0103,22.593082,1547963920.0
BS01200D,114.010262,22.592848,1547963930.0
BS01200D,114.010216,22.592607,1547963940.0
BS01200D,114.010178,22.592318,1547963950.0
BS01200D,114.010147,22.592009,1547963960.0
BS01200D,114.010094,22.591616,1547963970.0
BS01200D,114.010078,22.591404,1547963980.0
BS01200D,114.010033,22.591034,1547963990.0
BS01200D,114.009987,22.590631,1547963999.0
BS01200D,114.009979,22.590574,1547964000.0
BS01200D,114.009926,22.590103,1547964010.0
BS01200D,114.011856,22.56781,1547964227.0
BS01200D,114.012054,22.567465,1547964230.0
BS01200D,114.013023,22.566416,1547964240.0
BS01200D,114.013733,22.564985,1547964250.0
BS01200D,114.014275,22.563448,1547964260.0
BS01200D,114.014595,22.561836,1547964270.0
BS01200D,114.01535,22.556946,1547964300.0
BS01200D,114.015694,22.555361,1547964310.0
BS01200D,114.016441,22.553844,1547964320.0
BS01200D,114.017418,22.552467,1547964330.0
BS01200D,114.018288,22.551249,1547964339.0
BS01200D,114.018379,22.551113,1547964340.0
BS01200D,114.01931,22.549816,1547964350.0
BS01200D,114.02018,22.548599,1547964360.0
BS01200D,114.021034,22.547256,1547964370.0
BS01200D,114.02169,22.545631,1547964380.0
BS01200D,114.022026,22.54405,1547964390.0
BS01200D,114.022453,22.542671,1547964400.0
BS01200D,114.022652,22.541742,1547964410.0
BS01200D,114.022758,22.541126,1547964420.0
BS01200D,114.023369,22.538433,1547964450.0
BS01200D,114.023575,22.537626,1547964460.0
BS01200D,114.023834,22.536818,1547964470.0
BS01200D,114.024033,22.53611,1547964480.0
BS01200D,114.02401,22.536062,1547964500.0
BS01200D,114.024155,22.535631,1547964510.0
BS01200D,114.024422,22.534966,1547964520.0
BS01200D,114.024658,22.534372,1547964525.0
BS01200D,114.024857,22.533659,1547964530.0
BS01200D,114.025276,22.532251,1547964540.0
BS01200D,114.028,22.528761,1547964570.0
BS01200D,114.02916,22.528137,1547964580.0
BS01200D,114.030136,22.527573,1547964590.0
BS01200D,114.030983,22.527117,1547964600.0
BS01200D,114.031776,22.526678,1547964610.0
